property_id,url,property_type,price,rooms,area,state,facades_number,is_furnished,has_terrace,has_garden,has_equipped_kitchen,has_swimming_pool,has_open_fire,property_subtype,postal_code,locality,sale_type
VBD21139,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbd21139,Apartment,495000.0,3.0,165.0,New,2.0,0.0,1.0,,,,,apartment,1000.0,brussels,standard
VBD21359,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbd21359,Apartment,385000.0,2.0,93.0,Excellent,2.0,0.0,1.0,,,,,apartment,1000.0,brussels,standard
VBC83747,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbc83747,Apartment,1420000.0,3.0,210.0,Excellent,2.0,0.0,1.0,,,,,apartment,1000.0,brussels,standard
VBD21712,https://immovlan.be/en/detail/ground-floor/for-sale/1000/brussels/vbd21712,Other,700000.0,2.0,113.0,New,2.0,0.0,1.0,,,,,ground-floor,1000.0,brussels,standard
VBD22086,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbd22086,Apartment,189000.0,1.0,72.0,To renovate,,,,,,,,apartment,1000.0,brussels,standard
VBD22107,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/vbd22107,Apartment,189000.0,1.0,75.0,nan,2.0,,1.0,,,,,apartment,1020.0,laken,standard
VBD22615,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbd22615,Apartment,249000.0,1.0,,nan,,,,,,,,apartment,1000.0,brussels,standard
VBD22087,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbd22087,Apartment,175000.0,1.0,71.0,To be renovated,,,,,,,,apartment,1000.0,brussels,standard
VBC88979,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbc88979,Apartment,135000.0,1.0,30.0,Excellent,,1.0,,,,,,apartment,1000.0,brussels,standard
VBD22508,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbd22508,Apartment,240000.0,1.0,68.0,nan,2.0,0.0,,,,,,apartment,1000.0,brussels,standard
VBD27473,https://immovlan.be/en/detail/penthouse/for-sale/1120/neder-over-heembeek/vbd27473,Apartment,255000.0,2.0,80.0,To renovate,2.0,0.0,1.0,,,,,penthouse,1120.0,neder-over-heembeek,standard
VBD27728,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/vbd27728,Apartment,225000.0,2.0,96.0,To renovate,2.0,0.0,1.0,,,,,apartment,1020.0,laken,standard
VBD27744,https://immovlan.be/en/detail/duplex/for-sale/1020/laken/vbd27744,Apartment,299000.0,3.0,140.0,To renovate,3.0,0.0,1.0,,,,,duplex,1020.0,laken,standard
VWD14670,https://immovlan.be/en/detail/penthouse/for-sale/1000/brussels/vwd14670,Apartment,495000.0,1.0,130.0,Excellent,2.0,,1.0,,,,,penthouse,1000.0,brussels,standard
VBD28106,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbd28106,Apartment,370000.0,2.0,190.0,nan,,,,,,,,apartment,1000.0,brussels,standard
VBD28107,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbd28107,Apartment,380000.0,2.0,150.0,nan,,,,,,,,apartment,1000.0,brussels,standard
VBD27868,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbd27868,Apartment,345000.0,1.0,65.0,Normal,3.0,0.0,,,,,,apartment,1000.0,brussels,standard
VBD29291,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbd29291,Apartment,645000.0,2.0,148.0,Normal,2.0,0.0,,,,,,apartment,1000.0,brussels,standard
