,property_id,url,property_type,price,rooms,area,state,has_open_fire,property_subtype,postal_code,locality,sale_type,facades_number,is_furnished,has_terrace,has_garden,has_swimming_pool,has_equipped_kitchen,price_per_m2,log_price_m2,cluster,is_luxurious
10380,vbd40888,https://immovlan.be/en/detail/villa/for-sale/7700/mouscron/vbd40888,House,549000.0,3.0,213.0,Normal,,villa,7700.0,mouscron,standard,4.0,0.0,1.0,1.0,,,2577.4647887323945,7.854561554782243,0.0,False
10381,vbd40889,https://immovlan.be/en/detail/mixed-building/for-sale/7700/mouscron/vbd40889,Other,549000.0,3.0,213.0,Normal,,mixed-building,7700.0,mouscron,standard,4.0,0.0,1.0,1.0,,,2577.4647887323945,7.854561554782243,0.0,False
10383,vbd41229,https://immovlan.be/en/detail/residence/for-sale/7700/mouscron/vbd41229,House,209000.0,4.0,125.0,New,,residence,7700.0,mouscron,standard,2.0,0.0,1.0,0.0,No,Fully equipped,1672.0,7.421775793644647,0.0,False
10384,vbd41230,https://immovlan.be/en/detail/residence/for-sale/7700/mouscron/vbd41230,House,209000.0,4.0,125.0,New,,residence,7700.0,mouscron,standard,2.0,0.0,1.0,0.0,No,Fully equipped,1672.0,7.421775793644647,0.0,False
10385,vbd41285,https://immovlan.be/en/detail/residence/for-sale/4040/herstal/vbd41285,House,179000.0,4.0,119.0,Normal,,residence,4040.0,herstal,standard,2.0,0.0,0.0,0.0,No,Partially equipped,1504.2016806722688,7.316017591711363,0.0,False
10386,vbd41331,https://immovlan.be/en/detail/residence/for-sale/7500/tournai/vbd41331,House,250000.0,4.0,240.0,Normal,,residence,7500.0,tournai,standard,,,,,,,1041.6666666666667,6.9485772735023925,0.0,False
10387,vbd41343,https://immovlan.be/en/detail/residence/for-sale/7500/tournai/vbd41343,House,225000.0,3.0,236.0,,,residence,7500.0,tournai,standard,2.0,0.0,0.0,1.0,,,953.3898305084746,6.860023876160947,0.0,False
10388,vbd41385,https://immovlan.be/en/detail/bungalow/for-sale/4041/vottem/vbd41385,Other,180000.0,4.0,143.0,To be renovated,,bungalow,4041.0,vottem,standard,3.0,0.0,1.0,1.0,,,1258.7412587412587,7.13786749961244,0.0,False
10389,vbd41395,https://immovlan.be/en/detail/master-house/for-sale/7700/mouscron/vbd41395,Other,345000.0,,223.0,,,master-house,7700.0,mouscron,standard,2.0,,1.0,1.0,,,1547.085201793722,7.344127924553378,,False
10390,vbd41581,https://immovlan.be/en/detail/residence/for-sale/7700/mouscron/vbd41581,House,369000.0,3.0,164.0,,,residence,7700.0,mouscron,standard,2.0,0.0,1.0,1.0,,,2250.0,7.718685495198466,0.0,False
10391,vbd41594,https://immovlan.be/en/detail/residence/for-sale/1300/wavre/vbd41594,House,100000.0,4.0,200.0,Excellent,,residence,1300.0,wavre,standard,4.0,,1.0,1.0,Yes,Fully equipped,500.0,6.214608098422191,0.0,False
10392,vbd41610,https://immovlan.be/en/detail/residence/for-sale/1300/limal/vbd41610,House,349000.0,2.0,110.0,To be renovated,,residence,1300.0,limal,standard,4.0,0.0,1.0,1.0,,,3172.7272727272725,8.062346835392148,0.0,False
10393,vbd41686,https://immovlan.be/en/detail/residence/for-sale/4040/herstal/vbd41686,House,339000.0,3.0,168.0,Normal,,residence,4040.0,herstal,standard,2.0,,1.0,1.0,,Fully equipped,2017.857142857143,7.609791406959328,0.0,False
10394,vbd41735,https://immovlan.be/en/detail/residence/for-sale/7712/herseaux/vbd41735,House,479000.0,6.0,274.0,Normal,,residence,7712.0,herseaux,standard,4.0,0.0,1.0,1.0,No,Fully equipped,1748.1751824817518,7.466327770004982,1.0,True
10397,vbd41876,https://immovlan.be/en/detail/residence/for-sale/7700/mouscron/vbd41876,House,182000.0,3.0,170.0,Normal,,residence,7700.0,mouscron,standard,2.0,0.0,1.0,1.0,,,1070.5882352941176,6.975963529008671,0.0,False
10398,vbd41920,https://immovlan.be/en/detail/mixed-building/for-sale/1300/wavre/vbd41920,Other,295000.0,3.0,120.0,To be renovated,,mixed-building,1300.0,wavre,standard,2.0,0.0,1.0,1.0,No,Fully equipped,2458.3333333333335,7.807238892539911,0.0,False
10399,vbd42196,https://immovlan.be/en/detail/residence/for-sale/7538/vezon/vbd42196,House,370000.0,4.0,142.0,,,residence,7538.0,vezon,standard,,0.0,1.0,1.0,,,2605.6338028169016,7.865431227019147,0.0,False
10400,vbd42198,https://immovlan.be/en/detail/villa/for-sale/7538/vezon/vbd42198,House,370000.0,4.0,142.0,,,villa,7538.0,vezon,standard,,0.0,1.0,1.0,,,2605.6338028169016,7.865431227019147,0.0,False
10401,vbd42321,https://immovlan.be/en/detail/residence/for-sale/4040/herstal/vbd42321,House,235000.0,3.0,109.0,Normal,,residence,4040.0,herstal,standard,2.0,,1.0,1.0,,,2155.9633027522937,7.675992910897152,0.0,False
10402,vbd42457,https://immovlan.be/en/detail/residence/for-sale/7700/mouscron/vbd42457,House,139000.0,3.0,125.0,To renovate,,residence,7700.0,mouscron,standard,2.0,0.0,1.0,1.0,No,Partially equipped,1112.0,7.013915474810528,0.0,False
10403,vbd42482,https://immovlan.be/en/detail/residence/for-sale/4040/herstal/vbd42482,House,229000.0,3.0,120.0,To renovate,,residence,4040.0,herstal,standard,2.0,0.0,1.0,1.0,No,Fully equipped,1908.3333333333333,7.553985539754331,0.0,False
10404,vbd42541,https://immovlan.be/en/detail/residence/for-sale/7520/templeuve/vbd42541,House,390000.0,3.0,209.0,,,residence,7520.0,templeuve,standard,,0.0,0.0,1.0,,,1866.0287081339713,7.531567766141018,0.0,False
10405,vbd42562,https://immovlan.be/en/detail/residence/for-sale/1850/grimbergen/vbd42562,House,420000.0,3.0,174.0,To renovate,,residence,1850.0,grimbergen,standard,,,,,,,2413.793103448276,7.788954691045022,0.0,False
10406,vbd42657,https://immovlan.be/en/detail/residence/for-sale/1300/wavre/vbd42657,House,265000.0,2.0,75.0,,,residence,1300.0,wavre,standard,,,,,,,3533.3333333333335,8.169996991432049,0.0,False
10407,vbd42671,https://immovlan.be/en/detail/residence/for-sale/4040/herstal/vbd42671,House,349000.0,2.0,127.0,Excellent,,residence,4040.0,herstal,standard,2.0,1.0,1.0,0.0,No,,2748.031496062992,7.918640114725973,0.0,False
10408,vbd42690,https://immovlan.be/en/detail/mixed-building/for-sale/7540/rumillies/vbd42690,Other,435000.0,2.0,90.0,Normal,,mixed-building,7540.0,rumillies,standard,2.0,0.0,1.0,1.0,,,4833.333333333333,8.483291639740557,0.0,False
10409,vbd42734,https://immovlan.be/en/detail/residence/for-sale/7700/mouscron/vbd42734,House,159000.0,2.0,93.0,Normal,,residence,7700.0,mouscron,standard,3.0,0.0,1.0,1.0,,,1709.6774193548388,7.444059988049113,0.0,False
10410,vbd42819,https://immovlan.be/en/detail/residence/for-sale/7700/mouscron/vbd42819,House,315000.0,4.0,143.0,Normal,,residence,7700.0,mouscron,standard,2.0,0.0,1.0,1.0,No,Fully equipped,2202.7972027972028,7.697483287547863,0.0,False
10411,vbd42885,https://immovlan.be/en/detail/residence/for-sale/5380/forville/vbd42885,House,895000.0,4.0,282.0,Excellent,,residence,5380.0,forville,standard,4.0,0.0,1.0,1.0,No,Fully equipped,3173.758865248227,8.06267192631888,1.0,True
10412,vbd42976,https://immovlan.be/en/detail/residence/for-sale/6250/aiseau-presles/vbd42976,House,359000.0,3.0,135.0,Normal,,residence,6250.0,aiseau-presles,standard,4.0,,1.0,1.0,No,Fully equipped,2659.259259259259,7.885802889031987,0.0,False
10413,vbd43041,https://immovlan.be/en/detail/residence/for-sale/7500/tournai/vbd43041,House,635000.0,3.0,279.0,,,residence,7500.0,tournai,standard,4.0,0.0,1.0,1.0,Yes,,2275.9856630824374,7.730168496053463,0.0,False
10414,vbd43043,https://immovlan.be/en/detail/residence/for-sale/7700/mouscron/vbd43043,House,129000.0,3.0,110.0,To be renovated,,residence,7700.0,mouscron,standard,2.0,0.0,1.0,1.0,,,1172.7272727272727,7.067087317551393,0.0,False
10415,vbd43045,https://immovlan.be/en/detail/residence/for-sale/7521/chercq/vbd43045,House,135000.0,2.0,131.0,To be renovated,,residence,7521.0,chercq,standard,3.0,0.0,0.0,1.0,,,1030.5343511450383,6.937832734219415,0.0,False
10417,vbd43260,https://immovlan.be/en/detail/mixed-building/for-sale/4040/herstal/vbd43260,Other,250000.0,2.0,205.0,To be renovated,,mixed-building,4040.0,herstal,standard,,,,,,,1219.5121951219512,7.106206217705975,0.0,False
