property_id,url,property_type,price,number_of_bedrooms,municipality_url,livable_surface,vat,number_of_bathrooms,elevator,type_of_heating,state_of_the_property,specific_primary_energy_consumption,number_of_toilets,number_of_facades,flooding_area_type,furnished,availability,currently_leased,certification_electrical_installation,running_water,build_year,total_land_surface,cadastral_income,type_of_glazing,floor_of_appartment,garage,preemption_right,orientation_of_the_front_facade,epc_peb_reference,attic,surface_of_living_room,gas,surface_terrace,access_for_disabled,urbanism_affectation,number_of_parking_places_outdoor_,frontage_width,validity_date_epc_peb,number_of_floors,surface_garden,kitchen_equipment,sewer_connection,surface_kitchen,kitchen_type,surface_bedroom_1,ground_depth,surface_bedroom_2,the_property_and_or_its_surroundings_are_protected_,swimming_pool,alarm,building_permission_granted,surface_bedroom_3,cellar,yearly_total_primary_energy_consumption,buildable_surface,terrain_width_at_the_roadside,number_of_garages,planning_permission_granted,balcony,postal_code,municipality,air_conditioning,g_score,p_score,surface_bedroom_4,water_sensitive_open_space_areas,certification_as_build_,garden_orientation,number_of_parking_spaces_indoor_,rain_water_tank,demarcated_flooding_area,co2_emission,number_of_showers,wash_room,entry_phone,surface_of_the_cellar_s_,fireplace,vat_applied_,certification_electrical_installation_validity,solar_panels,floor_heating,opportunity_for_professional,total_surface,adaptations_for_elderlies,level_e,level_k,garden,terrace,609af22983804603bea6649c89f568ac_pdf,3db7d3c8c5b0480fbe5874334949d458_pdf,61b91a4b75064bec8e90edc245196cae_pdf,0aa4be20656b4c69943fca725b87c92c_jpg,4316af2f60b841a6be640faa59e71f6e_jpg,certification_gasoil_tank,327d87d3989f41d8aa4d1a93f8e28b96_pdf,bf93099045124c7aac67041293f89dd4_pdf,b9ccbcc6a522446085f7b2eb40d1acbe_pdf,55900e2f20d8400d84006a1e784eb1ea_png,aba_44025b030100m000_20250510243_pdf,vgi_uittreksel_2025_06_10_10_35_07z_pdf,vip_00529271_pdf,sbestattest_oude_heirbaan_125_9800_deinze_pdf,certificaat_20201112_0002338682_res_1_pdf
VBD40677,https://immovlan.be/en/detail/residence/for-sale/4000/liege/vbd40677,house,199000.0,4.0,liege,200.0,,,0.0,Gas,New,,,,no flooding area,0.0,On contract,0.0,,,,422.0,,,,,0.0,South-west,,,,,,,,,,,,176.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a demarcated flooding area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBD40785,https://immovlan.be/en/detail/residence/for-sale/4032/chenee/vbd40785,house,245000.0,5.0,chenee,180.0,0.0,3.0,,Gas,Normal,257.0,,,,,Immediately,0.0,"yes, certificate in accordance",,,,,,,,0.0,,20241002012757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBD40893,https://immovlan.be/en/detail/residence/for-sale/4000/glain/vbd40893,house,149500.0,3.0,glain,120.0,0.0,1.0,0.0,,Normal,450.0,1.0,,no flooding area,0.0,On contract,0.0,,,,455.0,495.0,,,,0.0,South,,,14.0,,,,,,,,,245.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a demarcated riparian zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBD40742,https://immovlan.be/en/detail/residence/for-sale/4032/chenee/vbd40742,house,239000.0,2.0,chenee,115.0,0.0,1.0,0.0,Gas,Normal,424.0,2.0,,,0.0,On contract,0.0,"yes, certificate in accordance",,,125.0,382.0,,,,0.0,East,,,10.0,,,,,,,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBD40836,https://immovlan.be/en/detail/residence/for-sale/4030/grivegnee/vbd40836,house,255000.0,3.0,grivegnee,,0.0,,,Gas,Normal,391.0,1.0,,,,On contract,0.0,,,,186.0,1001.0,,,,,South-east,20230313013503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBD41218,https://immovlan.be/en/detail/residence/for-sale/4000/liege/vbd41218,house,49000.0,1.0,liege,48.0,0.0,1.0,0.0,Gas,To renovate,510.0,,,no flooding area,,,,,,,20.0,240.0,,,,,South,20250913011654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBD40900,https://immovlan.be/en/detail/residence/for-sale/4000/liege/vbd40900,house,255000.0,3.0,liege,163.0,0.0,1.0,,Gas,To be renovated,396.0,1.0,,,,Immediately,0.0,"yes, certificate in accordance",,,,,,,,1.0,,2024090921046,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBD40897,https://immovlan.be/en/detail/residence/for-sale/4020/liege/vbd40897,house,169000.0,3.0,liege,106.0,0.0,1.0,0.0,Gas,Excellent,292.0,2.0,,no flooding area,0.0,On contract,0.0,,,,234.0,,,,,0.0,North-west,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a demarcated flooding area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBD41260,https://immovlan.be/en/detail/mixed-building/for-sale/4000/liege/vbd41260,house,249000.0,,liege,130.0,0.0,,,,To renovate,,,,,,On contract,0.0,,,,,1978.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBD41261,https://immovlan.be/en/detail/residence/for-sale/4020/liege/vbd41261,house,219000.0,3.0,liege,166.0,0.0,1.0,,Gas,To renovate,440.0,2.0,,,0.0,On contract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
